Date,Currency,Description,Record,Bid,Ask
04/08/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,4.149,4.159
05/08/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,4.196,4.206
06/08/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,4.199,4.209
07/08/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,4.25,4.26
08/08/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,4.173,4.183
11/08/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,4.146,4.156
12/08/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,4.211,4.221
13/08/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,4.13,4.14
14/08/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,4.152,4.162
15/08/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,4.14,4.15
18/08/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,4.076,4.086
19/08/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,4.057,4.067
20/08/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,4.092,4.102
21/08/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,3.989,3.999
22/08/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,4.05,4.06
25/08/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,4.078,4.088
26/08/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,4.017,4.027
27/08/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,4.019,4.029
28/08/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,4,4.01
29/08/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,4.012,4.022
01/09/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,4.006,4.016
02/09/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,4.035,4.045
03/09/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,3.935,3.945
04/09/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,3.911,3.921
05/09/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,3.762,3.772
08/09/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,3.985,3.995
09/09/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,3.822,3.832
10/09/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,3.775,3.785
11/09/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,3.763,3.773
12/09/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,3.776,3.786
15/09/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,3.558,3.568
16/09/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,3.441,3.461
17/09/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,3.574,3.594
18/09/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,3.546,3.566
19/09/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,3.722,3.742
22/09/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,3.997,4.017
23/09/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,4.002,4.022
24/09/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,4.083,4.103
25/09/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,4.141,4.161
26/09/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,4.109,4.129
29/09/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,4.086,4.106
30/09/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,3.891,3.911
01/10/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,3.98,4
02/10/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,3.939,3.959
03/10/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,3.827,3.847
06/10/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,3.649,3.669
07/10/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,3.524,3.544
08/10/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,3.474,3.494
09/10/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,3.864,3.884
10/10/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,3.858,3.878
13/10/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,3.911,3.931
14/10/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,4.027,4.047
15/10/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,3.983,4.003
16/10/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,4.008,4.028
17/10/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,3.936,3.956
20/10/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,3.858,3.878
21/10/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,3.725,3.745
22/10/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,3.486,3.506
23/10/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,3.515,3.535
24/10/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,3.479,3.499
27/10/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,3.642,3.662
28/10/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,3.786,3.806
29/10/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,3.777,3.797
30/10/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,3.79,3.81
31/10/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,3.728,3.748
03/11/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,3.835,3.855
04/11/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,3.75,3.77
05/11/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,3.579,3.599
06/11/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,3.477,3.497
07/11/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,3.491,3.511
10/11/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,3.588,3.608
11/11/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,3.473,3.493
12/11/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,3.427,3.447
13/11/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,3.282,3.302
14/11/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,3.457,3.477
17/11/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,3.381,3.401
18/11/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,3.294,3.314
19/11/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,3.164,3.184
20/11/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,2.948,2.968
21/11/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,2.9,2.92
24/11/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,2.978,2.998
25/11/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,3.073,3.093
26/11/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,2.744,2.764
27/11/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,2.756,2.776
28/11/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,2.783,2.803
01/12/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,2.718,2.738
02/12/2008,USD,IRS USD A A/360 v USD 3M LIBOR 05Y,USDIRSLIB5YQ,2.527,2.547
