Date,Currency,Description,Record,Bid,Ask
15/10/2003,USD,OIS USD  24M,USDOIS_24M,1.935,1.955
16/10/2003,USD,OIS USD  24M,USDOIS_24M,1.907,1.928
17/10/2003,USD,OIS USD  24M,USDOIS_24M,2.06,2.08
21/10/2003,USD,OIS USD  24M,USDOIS_24M,2.011,2.057
22/10/2003,USD,OIS USD  24M,USDOIS_24M,1.99,2.035
23/10/2003,USD,OIS USD  24M,USDOIS_24M,1.97,1.99
24/10/2003,USD,OIS USD  24M,USDOIS_24M,1.997,2.017
27/10/2003,USD,OIS USD  24M,USDOIS_24M,1.966,1.986
28/10/2003,USD,OIS USD  24M,USDOIS_24M,2.044,2.064
29/10/2003,USD,OIS USD  24M,USDOIS_24M,1.908,1.929
30/10/2003,USD,OIS USD  24M,USDOIS_24M,2.035,2.055
31/10/2003,USD,OIS USD  24M,USDOIS_24M,1.989,2.01
03/11/2003,USD,OIS USD  24M,USDOIS_24M,2.076,2.096
04/11/2003,USD,OIS USD  24M,USDOIS_24M,2.025,2.045
05/11/2003,USD,OIS USD  24M,USDOIS_24M,2.036,2.056
06/11/2003,USD,OIS USD  24M,USDOIS_24M,2.141,2.161
07/11/2003,USD,OIS USD  24M,USDOIS_24M,2.206,2.227
10/11/2003,USD,OIS USD  24M,USDOIS_24M,2.173,2.193
11/11/2003,USD,OIS USD  24M,USDOIS_24M,2.172,2.193
12/11/2003,USD,OIS USD  24M,USDOIS_24M,2.159,2.18
13/11/2003,USD,OIS USD  24M,USDOIS_24M,2.066,2.086
14/11/2003,USD,OIS USD  24M,USDOIS_24M,1.957,1.978
17/11/2003,USD,OIS USD  24M,USDOIS_24M,1.908,1.928
18/11/2003,USD,OIS USD  24M,USDOIS_24M,1.948,1.969
19/11/2003,USD,OIS USD  24M,USDOIS_24M,1.961,1.981
20/11/2003,USD,OIS USD  24M,USDOIS_24M,1.995,2.015
21/11/2003,USD,OIS USD  24M,USDOIS_24M,1.932,1.952
24/11/2003,USD,OIS USD  24M,USDOIS_24M,2.035,2.056
25/11/2003,USD,OIS USD  24M,USDOIS_24M,2.017,2.037
26/11/2003,USD,OIS USD  24M,USDOIS_24M,2.066,2.086
27/11/2003,USD,OIS USD  24M,USDOIS_24M,2.117,2.137
28/11/2003,USD,OIS USD  24M,USDOIS_24M,2.151,2.171
01/12/2003,USD,OIS USD  24M,USDOIS_24M,2.25,2.27
02/12/2003,USD,OIS USD  24M,USDOIS_24M,2.249,2.269
03/12/2003,USD,OIS USD  24M,USDOIS_24M,2.21,2.23
04/12/2003,USD,OIS USD  24M,USDOIS_24M,2.216,2.236
05/12/2003,USD,OIS USD  24M,USDOIS_24M,2.005,2.025
08/12/2003,USD,OIS USD  24M,USDOIS_24M,2.03,2.034
09/12/2003,USD,OIS USD  24M,USDOIS_24M,2.029,2.049
10/12/2003,USD,OIS USD  24M,USDOIS_24M,2.071,2.091
11/12/2003,USD,OIS USD  24M,USDOIS_24M,2.037,2.057
12/12/2003,USD,OIS USD  24M,USDOIS_24M,1.885,1.905
15/12/2003,USD,OIS USD  24M,USDOIS_24M,1.958,1.978
16/12/2003,USD,OIS USD  24M,USDOIS_24M,1.942,1.963
17/12/2003,USD,OIS USD  24M,USDOIS_24M,1.906,1.927
18/12/2003,USD,OIS USD  24M,USDOIS_24M,1.99,2.01
19/12/2003,USD,OIS USD  24M,USDOIS_24M,1.951,1.972
22/12/2003,USD,OIS USD  24M,USDOIS_24M,1.962,1.982
24/12/2003,USD,OIS USD  24M,USDOIS_24M,1.959,1.98
25/12/2003,USD,OIS USD  24M,USDOIS_24M,1.953,1.973
26/12/2003,USD,OIS USD  24M,USDOIS_24M,1.91,1.93
29/12/2003,USD,OIS USD  24M,USDOIS_24M,1.944,1.964
30/12/2003,USD,OIS USD  24M,USDOIS_24M,1.971,1.992
31/12/2003,USD,OIS USD  24M,USDOIS_24M,1.977,1.998
01/01/2004,USD,OIS USD  24M,USDOIS_24M,1.975,1.996
02/01/2004,USD,OIS USD  24M,USDOIS_24M,2.097,2.117
05/01/2004,USD,OIS USD  24M,USDOIS_24M,2.101,2.121
06/01/2004,USD,OIS USD  24M,USDOIS_24M,1.985,2.005
07/01/2004,USD,OIS USD  24M,USDOIS_24M,1.965,1.985
08/01/2004,USD,OIS USD  24M,USDOIS_24M,1.963,1.984
09/01/2004,USD,OIS USD  24M,USDOIS_24M,1.809,1.829
12/01/2004,USD,OIS USD  24M,USDOIS_24M,1.749,1.77
13/01/2004,USD,OIS USD  24M,USDOIS_24M,1.75,1.77
14/01/2004,USD,OIS USD  24M,USDOIS_24M,1.752,1.772
15/01/2004,USD,OIS USD  24M,USDOIS_24M,1.81,1.83
16/01/2004,USD,OIS USD  24M,USDOIS_24M,1.821,1.841
19/01/2004,USD,OIS USD  24M,USDOIS_24M,1.843,1.863
20/01/2004,USD,OIS USD  24M,USDOIS_24M,1.816,1.836
21/01/2004,USD,OIS USD  24M,USDOIS_24M,1.826,1.847
22/01/2004,USD,OIS USD  24M,USDOIS_24M,1.776,1.796
23/01/2004,USD,OIS USD  24M,USDOIS_24M,1.766,1.787
26/01/2004,USD,OIS USD  24M,USDOIS_24M,1.844,1.865
27/01/2004,USD,OIS USD  24M,USDOIS_24M,1.827,1.847
