Date,Currency,Description,Record,Bid,Ask,Mid
22/12/2004,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.765,4.785,
23/12/2004,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.72,4.74,
24/12/2004,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.715,4.735,
27/12/2004,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.715,4.735,
28/12/2004,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.715,4.735,
29/12/2004,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.785,4.805,
30/12/2004,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.775,4.795,
31/12/2004,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.755,4.775,
03/01/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.755,4.775,
04/01/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.735,4.755,
05/01/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.755,4.775,
06/01/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.735,4.755,
07/01/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.735,4.755,
10/01/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.715,4.735,
11/01/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.715,4.735,
12/01/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.71,4.73,
13/01/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.655,4.675,
14/01/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.68,4.7,
17/01/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.66,4.68,
18/01/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.78,4.8,
19/01/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.8,4.82,
20/01/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.81,4.83,
21/01/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.765,4.785,
24/01/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.765,4.785,
25/01/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.78,4.8,
26/01/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.8,4.82,
27/01/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.825,4.845,
28/01/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.795,4.815,
31/01/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.81,4.83,
01/02/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.8,4.82,
02/02/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.805,4.825,
03/02/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.84,4.86,
04/02/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.82,4.84,
07/02/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.825,4.845,
08/02/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.845,4.865,
09/02/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.885,4.905,
10/02/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.855,4.875,
11/02/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.87,4.89,
14/02/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.915,4.935,
15/02/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.92,4.94,
16/02/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.88,4.9,
17/02/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.905,4.925,
18/02/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.93,4.95,
21/02/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.97,4.99,
22/02/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.99,5.01,
23/02/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,5.04,5.06,
24/02/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,5.09,5.11,
25/02/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,5.07,5.09,
28/02/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,5.08,5.1,
01/03/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,5.085,5.105,
02/03/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,5.12,5.14,
03/03/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,5.11,5.13,
04/03/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,5.085,5.105,
07/03/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,5.085,5.105,
08/03/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,5.11,5.13,
09/03/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,5.12,5.14,
10/03/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,5.115,5.135,
11/03/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,5.095,5.115,
14/03/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,5.09,5.11,
15/03/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,5.07,5.09,
16/03/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,5.035,5.055,
17/03/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,5.03,5.05,
18/03/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,5.06,5.08,
21/03/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,5.06,5.08,
22/03/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,5.02,5.04,
23/03/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,5.055,5.075,
24/03/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,5.05,5.07,
25/03/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,5.05,5.07,
28/03/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,5.05,5.07,
29/03/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,5.045,5.065,
30/03/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,5.005,5.025,
31/03/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.97,4.99,
01/04/2005,GBP,OIS GBP SONIA 2Y ,GBPOIS_2Y,4.98,5,
