Date,Currency,Description,Record,Bid,Ask
10/04/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.547,3.617
13/04/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.547,3.617
14/04/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.541,3.611
15/04/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.547,3.617
16/04/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.539,3.609
17/04/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.629,3.699
20/04/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.501,3.571
21/04/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.508,3.578
22/04/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.489,3.559
23/04/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.452,3.522
24/04/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.463,3.533
27/04/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.438,3.508
28/04/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.395,3.465
29/04/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.339,3.409
30/04/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.404,3.474
01/05/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,<blank>,3.466
04/05/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.483,3.553
05/05/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.422,3.492
06/05/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.425,3.495
07/05/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.56,3.63
08/05/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.629,3.699
11/05/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.544,3.614
12/05/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.567,3.637
13/05/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.537,3.607
14/05/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.558,3.628
15/05/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.562,3.632
18/05/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.527,3.597
19/05/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.575,3.645
20/05/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.629,3.699
21/05/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.638,3.708
22/05/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.658,3.728
25/05/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.694,3.764
26/05/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.711,3.781
27/05/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.649,3.719
28/05/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.734,3.804
29/05/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.668,3.738
01/06/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.722,3.792
02/06/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.744,3.814
03/06/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.667,3.737
04/06/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.709,3.779
05/06/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.768,3.838
08/06/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.671,3.741
09/06/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.659,3.729
10/06/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.701,3.771
11/06/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.737,3.807
12/06/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.747,3.817
15/06/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.701,3.771
16/06/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.724,3.794
17/06/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.751,3.821
18/06/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.795,3.865
19/06/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.797,3.867
22/06/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.767,3.837
23/06/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.809,3.879
24/06/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.806,3.876
25/06/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.789,3.859
26/06/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.77,3.84
29/06/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.785,3.855
30/06/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.731,3.801
01/07/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.783,3.853
02/07/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.736,3.806
03/07/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.734,3.804
06/07/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.711,3.781
07/07/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.735,3.805
08/07/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.7,3.77
09/07/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.715,3.785
10/07/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.688,3.758
13/07/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.707,3.777
14/07/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.714,3.784
15/07/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.735,3.805
16/07/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.7,3.77
17/07/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.744,3.814
20/07/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.734,3.804
21/07/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.711,3.781
22/07/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.744,3.814
23/07/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.761,3.831
24/07/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.789,3.859
27/07/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.819,3.889
28/07/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.77,3.84
29/07/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.76,3.83
30/07/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.735,3.805
31/07/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.648,3.718
03/08/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.689,3.759
04/08/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.685,3.755
05/08/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.654,3.724
06/08/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.685,3.755
07/08/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.739,3.809
10/08/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.687,3.757
11/08/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.689,3.759
12/08/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.686,3.756
13/08/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.668,3.738
14/08/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.613,3.683
17/08/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.628,3.698
18/08/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.625,3.695
19/08/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.601,3.671
20/08/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.579,3.649
21/08/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.623,3.693
24/08/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.613,3.683
25/08/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.589,3.659
26/08/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.563,3.633
27/08/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.576,3.646
28/08/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.584,3.654
31/08/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.571,3.641
01/09/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.562,3.632
02/09/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.565,3.635
03/09/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.601,3.671
04/09/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.611,3.681
07/09/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.609,3.679
08/09/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.643,3.713
09/09/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.746,3.816
10/09/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.707,3.777
11/09/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.624,3.694
14/09/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.624,3.694
15/09/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.653,3.723
16/09/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.677,3.747
17/09/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.702,3.772
18/09/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.732,3.802
21/09/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.736,3.806
22/09/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.732,3.802
23/09/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.726,3.796
24/09/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.696,3.766
25/09/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.644,3.714
28/09/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.638,3.708
29/09/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.611,3.681
30/09/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.61,3.68
01/10/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.565,3.635
02/10/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.537,3.607
05/10/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.544,3.614
06/10/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.559,3.629
07/10/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.506,3.576
08/10/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.51,3.58
09/10/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.531,3.601
12/10/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.511,3.581
13/10/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.493,3.563
14/10/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.548,3.618
15/10/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.598,3.668
16/10/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.584,3.654
19/10/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.616,3.686
20/10/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.575,3.645
21/10/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.654,3.724
22/10/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.642,3.712
23/10/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.689,3.759
26/10/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.679,3.749
27/10/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.624,3.694
28/10/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.596,3.666
29/10/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.641,3.711
30/10/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.563,3.633
02/11/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.584,3.654
03/11/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.623,3.693
04/11/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.655,3.725
05/11/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.653,3.723
06/11/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.68,3.75
09/11/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.649,3.719
10/11/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.595,3.665
11/11/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.593,3.663
12/11/2009,EUR,OIS EUR EONIA 30Y,EONIA_30Y,3.62,3.69
