Date,Currency,Description,Record,Bid,Ask
22/10/2009,EUR,IRS EUR A 30/360 v 3M EURIBOR 30Y,EUR3M_30Y,3.928,3.978
23/10/2009,EUR,IRS EUR A 30/360 v 3M EURIBOR 30Y,EUR3M_30Y,3.977,4.027
26/10/2009,EUR,IRS EUR A 30/360 v 3M EURIBOR 30Y,EUR3M_30Y,3.972,4.022
27/10/2009,EUR,IRS EUR A 30/360 v 3M EURIBOR 30Y,EUR3M_30Y,3.916,3.966
28/10/2009,EUR,IRS EUR A 30/360 v 3M EURIBOR 30Y,EUR3M_30Y,3.888,3.938
29/10/2009,EUR,IRS EUR A 30/360 v 3M EURIBOR 30Y,EUR3M_30Y,3.933,3.983
30/10/2009,EUR,IRS EUR A 30/360 v 3M EURIBOR 30Y,EUR3M_30Y,3.854,3.904
02/11/2009,EUR,IRS EUR A 30/360 v 3M EURIBOR 30Y,EUR3M_30Y,3.875,3.925
03/11/2009,EUR,IRS EUR A 30/360 v 3M EURIBOR 30Y,EUR3M_30Y,3.914,3.964
04/11/2009,EUR,IRS EUR A 30/360 v 3M EURIBOR 30Y,EUR3M_30Y,3.949,3.999
05/11/2009,EUR,IRS EUR A 30/360 v 3M EURIBOR 30Y,EUR3M_30Y,3.948,3.998
06/11/2009,EUR,IRS EUR A 30/360 v 3M EURIBOR 30Y,EUR3M_30Y,3.973,4.023
09/11/2009,EUR,IRS EUR A 30/360 v 3M EURIBOR 30Y,EUR3M_30Y,3.942,3.992
10/11/2009,EUR,IRS EUR A 30/360 v 3M EURIBOR 30Y,EUR3M_30Y,3.887,3.937
11/11/2009,EUR,IRS EUR A 30/360 v 3M EURIBOR 30Y,EUR3M_30Y,3.884,3.934
12/11/2009,EUR,IRS EUR A 30/360 v 3M EURIBOR 30Y,EUR3M_30Y,3.911,3.961
13/11/2009,EUR,IRS EUR A 30/360 v 3M EURIBOR 30Y,EUR3M_30Y,3.924,3.974
16/11/2009,EUR,IRS EUR A 30/360 v 3M EURIBOR 30Y,EUR3M_30Y,3.878,3.928
17/11/2009,EUR,IRS EUR A 30/360 v 3M EURIBOR 30Y,EUR3M_30Y,3.82,3.87
18/11/2009,EUR,IRS EUR A 30/360 v 3M EURIBOR 30Y,EUR3M_30Y,3.811,3.861
19/11/2009,EUR,IRS EUR A 30/360 v 3M EURIBOR 30Y,EUR3M_30Y,3.797,3.847
20/11/2009,EUR,IRS EUR A 30/360 v 3M EURIBOR 30Y,EUR3M_30Y,3.785,3.835
23/11/2009,EUR,IRS EUR A 30/360 v 3M EURIBOR 30Y,EUR3M_30Y,3.805,3.855
24/11/2009,EUR,IRS EUR A 30/360 v 3M EURIBOR 30Y,EUR3M_30Y,3.77,3.82
25/11/2009,EUR,IRS EUR A 30/360 v 3M EURIBOR 30Y,EUR3M_30Y,3.787,3.837
26/11/2009,EUR,IRS EUR A 30/360 v 3M EURIBOR 30Y,EUR3M_30Y,3.724,3.774
27/11/2009,EUR,IRS EUR A 30/360 v 3M EURIBOR 30Y,EUR3M_30Y,3.715,3.765
30/11/2009,EUR,IRS EUR A 30/360 v 3M EURIBOR 30Y,EUR3M_30Y,3.709,3.759
01/12/2009,EUR,IRS EUR A 30/360 v 3M EURIBOR 30Y,EUR3M_30Y,3.647,3.697
02/12/2009,EUR,IRS EUR A 30/360 v 3M EURIBOR 30Y,EUR3M_30Y,3.691,3.741
03/12/2009,EUR,IRS EUR A 30/360 v 3M EURIBOR 30Y,EUR3M_30Y,3.684,3.734
04/12/2009,EUR,IRS EUR A 30/360 v 3M EURIBOR 30Y,EUR3M_30Y,3.73,3.78
07/12/2009,EUR,IRS EUR A 30/360 v 3M EURIBOR 30Y,EUR3M_30Y,3.691,3.741
08/12/2009,EUR,IRS EUR A 30/360 v 3M EURIBOR 30Y,EUR3M_30Y,3.678,3.728
09/12/2009,EUR,IRS EUR A 30/360 v 3M EURIBOR 30Y,EUR3M_30Y,3.705,3.755
10/12/2009,EUR,IRS EUR A 30/360 v 3M EURIBOR 30Y,EUR3M_30Y,3.726,3.776
11/12/2009,EUR,IRS EUR A 30/360 v 3M EURIBOR 30Y,EUR3M_30Y,3.726,3.776
14/12/2009,EUR,IRS EUR A 30/360 v 3M EURIBOR 30Y,EUR3M_30Y,3.696,3.746
15/12/2009,EUR,IRS EUR A 30/360 v 3M EURIBOR 30Y,EUR3M_30Y,3.756,3.806
16/12/2009,EUR,IRS EUR A 30/360 v 3M EURIBOR 30Y,EUR3M_30Y,3.722,3.772
17/12/2009,EUR,IRS EUR A 30/360 v 3M EURIBOR 30Y,EUR3M_30Y,3.666,3.716
18/12/2009,EUR,IRS EUR A 30/360 v 3M EURIBOR 30Y,EUR3M_30Y,3.652,3.702
21/12/2009,EUR,IRS EUR A 30/360 v 3M EURIBOR 30Y,EUR3M_30Y,3.693,3.743
22/12/2009,EUR,IRS EUR A 30/360 v 3M EURIBOR 30Y,EUR3M_30Y,3.731,3.781
